"NO","CASE TYPES","USER GROUPING_NEW","USER GROUPING_OLD","SEGMENT","PRODUCT","SUB PRODUCT","CASE CATEGORY","CASE DESCRIPTION","NEW CASE DESCRIPTION","REQUIRED SUB-DESCRIPTION","SUB","DOC INTAKE","LIST KEBUTUHAN DOKUMEN","SUGGESTION","SUGGESTION - BREAKDOWN","LEVEL OF EFFORT","RANGE OF DAYS 
(ACTUAL SLA)","ACTUAL SLA
(DAYS)","TARGET SLA 
(DAYS)","BRI NOTES","TEAM NAME","T1 - AGENT CCT/FRONTLINER","T2.1 - SUPPORTING UNIT","T2.2 - SUPPORTING UNIT","T2.3 - SUPPORTING UNIT","T3.1 - PRODUCT OWNER","T3.2 - PRODUCT OWNER","T3.3 - PRODUCT OWNER","T4.1 - TECHNICAL TEAM","T4.2 - TECHNICAL TEAM","T4.3 - TECHNICAL TEAM","T5.1 - THIRD PARTY","T5.2 - THIRD PARTY","T5.3 - THIRD PARTY","TOTAL SLA","NEW SLA","STATUS","GIC","MAKER","CHECKER","SIGNER","COURTESY AWAL","KEBUTUHAN DATA","JENIS PRODUK DAN ATAU LAYANAN LKPBU","KATEGORI PERMASALAHAN LKPBU","JENIS TRANSAKSI LKPBU","PENYEBAB PENGADUAN LKPBU","JENIS PRODUK LBUT","SANDI JENIS  PRODUK LBUT","SEBAB PENGADUAN LBUT","SANDI PENYEBAB LBUT","SF_ID","EXTERNAL_ID","ERROR"
"290.0","8983","Resolution Center","Service & Contact Center - CCT","UMKM","Merchant Solutions","Payment Solutions","Request","Pembatalan Transaksi / Refund Merchant","","0.0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0.0","14.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CCTCALL","","","","","","","","","","","","","","","290.0-8983","Id not specified in an update call"
"291.0","8984","Resolution Center","Service & Contact Center - CCT","UMKM","Merchant Solutions","Payment Solutions","Platform & Device Support","Status Mesin EDC tidak Bisa Digunakan","","0.0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0.0","3.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CCTCALL","","","","","","","","","","","","","","","291.0-8984","Id not specified in an update call"
"293.0","8986","Resolution Center","Service & Contact Center - CCT","UMKM","Merchant Solutions","Payment Solutions","Complaint - Transaction","Pembayaran Settlement Merchant (gagal settlement)","","0.0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0.0","14.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CCTCALL","","","","","","","","","","","","","","","293.0-8986","Id not specified in an update call"
"296.0","9001","Resolution Center","Service & Contact Center - NFT","All","All","All","Products / Promotion Inquiry","BRI Agro","","0.0","Yes","No","No","Move to Resolution Center","Stay in NFT","Very Low","0 ~ 2","0.0","19.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-ACQ","","","","","","","","","","","","","","","296.0-9001","Id not specified in an update call"
"301.0","9999","Resolution Center","Service & Contact Center - NFT","Individu Umum","Savings","Electronic Money","Complaint - Transaction","Gagal Transaksi BRIZZI","","0.0","Yes","No","No","Move to Resolution Center","Stay in NFT","Medium","6 ~ 10","7.0","2.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-ISSUER","","","","","","","","","","","","","","","301.0-9999","Id not specified in an update call"
"343.0","1733","Card, Digital Lending & Assset","Card, Digital Lending & Assset","Individu Umum","Loans","Kartu Kredit","","Poin kartu Infinite","","0.0","Yes","Yes","No","No Change","","Very Low","0 ~ 2","0.0","0.0","Proposed to Delete","","1.0","","","","","","","","","","","","","1.0","0.0","","KKD-PBK-KKPBK","","","","","","","","","","","","","","","343.0-1733","Id not specified in an update call"
"346.0","4219","Card, Digital Lending & Assset","Card, Digital Lending & Assset","Individu Umum","Loans","Kartu Kredit","","Pendaftaran QRIS Kartu Kredit Pemerintah secara Manual","","0.0","Yes","Yes","No","No Change","","Very Low","0 ~ 2","0.0","14.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","KKD-PBK-KKPBK","","","","","","","","","","","","","","","346.0-4219","Id not specified in an update call"
"347.0","4206","Card, Digital Lending & Assset","Card, Digital Lending & Assset","Individu Umum","Loans","Kartu Kredit","Request","Permintaan Kartu Kredit Baru Karena Pembayaran Tidak Lancar","Nasabah Mengajukan Kartu Kredit Baru Karena Pembayaran Tidak Lancar","1.0","Yes","Yes","No","No Change","","Very Low","0 ~ 2","0.0","15.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","KKD-CRI-DATAM","","","","","","","","","","","","","","","347.0-4206","Id not specified in an update call"
"349.0","1728","Card, Digital Lending & Assset","Card, Digital Lending & Assset","Individu Umum","Loans","Kartu Kredit","Request","Penukaran poin untuk iuran tahunan","Nasabah Mengajukan Penukaran Poin untuk Iuran Tahunan","0.0","Yes","Yes","No","No Change","","Very Low","0 ~ 2","0.0","20.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","KKD-OPS-MSU","","","","","","","","","","","","","","","349.0-1728","Id not specified in an update call"
"350.0","4300","Card, Digital Lending & Assset","Card, Digital Lending & Assset","Individu Umum","Loans","Kartu Kredit","Complaint - Non-Transaction","Belum terima PIN Kartu kredit dan PIN kartu Kredit Invalid","Nasabah Komplain Belum Terima PIN Kartu Kredit atau PIN Kartu Kredit Invalid","0.0","Yes","Yes","No","No Change","","Very Low","0 ~ 2","0.0","8.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","KKD-RMG-PIN","","","","","","","","","","","","","","","350.0-4300","Id not specified in an update call"
"351.0","4309","Card, Digital Lending & Assset","Card, Digital Lending & Assset","Individu Umum","Loans","Kartu Kredit","Request","Pengiriman Kartu dari Anti Attrition","","0.0","Yes","Yes","No","No Change","","Very Low","0 ~ 2","0.0","5.0","Proposed to delete","","1.0","","","","","","","","","","","","","1.0","0.0","","KKD-OPS-DELIVERY","","","","","","","","","","","","","","","351.0-4309","Id not specified in an update call"
